Go.	Марш!	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #1159202 (shanghainese)
Go.	Иди.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #5898247 (marafon)
Go.	Идите.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #5898250 (marafon)
Hi.	Здравствуйте.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #402127 (odexed)
Hi.	Привет!	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #466968 (katjka)
Hi.	Хай.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #467233 (timsa)
Hi.	Здрасте.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #3803577 (marafon)
Hi.	Здоро́во!	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #3854188 (marafon)
Hi.	Приветик!	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #7234283 (marafon)
Run!	Беги!	CC-BY 2.0 (France) Attribution: tatoeba.org #906328 (papabear) & #1569978 (Biga)
Run!	Бегите!	CC-BY 2.0 (France) Attribution: tatoeba.org #906328 (papabear) & #2770234 (marafon)
Run.	Беги!	CC-BY 2.0 (France) Attribution: tatoeba.org #4008918 (JSakuragi) & #1569978 (Biga)
Run.	Бегите!	CC-BY 2.0 (France) Attribution: tatoeba.org #4008918 (JSakuragi) & #2770234 (marafon)
Who?	Кто?	CC-BY 2.0 (France) Attribution: tatoeba.org #2083030 (CK) & #2124209 (marafon)
Wow!	Вот это да!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #469862 (OlgaElwen)
Wow!	Круто!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #1824202 (sharptoothed)
Wow!	Здорово!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #1824204 (sharptoothed)
Wow!	Ух ты!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #2029387 (marafon)
Wow!	Ого!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #4818130 (sharptoothed)
Wow!	Вах!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #5898254 (marafon)
Duck!	Пригнись!	CC-BY 2.0 (France) Attribution: tatoeba.org #280158 (CM) & #5028115 (Wezel)
